Brand,Model_No,SubmitStatus,Config,Country,Power Input (kW),Cooling Capacity (kW),Refrigerant,Type,Variable Output Compressor,IMG
PANASONIC,S-60PF1E5B/U-60PE1R5A,Approved,Ducted,China,1.54,6,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/e351fcf7527c?text=PANASONICS-60PF1E5B/U-60PE1R5A
PANASONIC,S-100PT2E5B/U-100PE1R8A,Approved,Non Ducted,China,2.53,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c289919c27?text=PANASONICS-100PT2E5B/U-100PE1R8A
PANASONIC,S-125PT2E5B/U-125PE1R8A,Approved,Non Ducted,China,3.73,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a205a07de?text=PANASONICS-125PT2E5B/U-125PE1R8A
PANASONIC,S-140PT2E5B/U-140PE1R8A,Approved,Non Ducted,China,4.65,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff888dab81?text=PANASONICS-140PT2E5B/U-140PE1R8A
PANASONIC,S-100PT2E5B/U-100PE1R5A,Approved,Non Ducted,China,2.53,10,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/0f70cbf076e19?text=PANASONICS-100PT2E5B/U-100PE1R5A
PANASONIC,S-125PT2E5B/U-125PE1R5A,Approved,Non Ducted,China,3.73,12.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/f645c299919c28?text=PANASONICS-125PT2E5B/U-125PE1R5A
PANASONIC,S-140PT2E5B/U-140PE1R5A,Approved,Non Ducted,China,4.65,14,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c401a215a07de?text=PANASONICS-140PT2E5B/U-140PE1R5A
TEMPERZONE,VPA160RKTG-P,Approved,Ducted,New Zealand;Australia,4.93,15.66,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/ddff898dab82?text=TEMPERZONEVPA160RKTG-P
EUROMATIC,EUR-9000WAC,Approved,Non Ducted,China,0.79,2.6,R410A,Reverse Cycle,,http://via.placeholder.com/150/0f70cbf076e20?text=EUROMATICEUR-9000WAC
DAIKIN,RXYQ12AYM / FXFSQ50AVM,Approved,Non Ducted,Thailand,8.93,33.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/26edd254fc509?text=DAIKINRXYQ12AYM / FXFSQ50AVM
Midea,MSABE-18HRFN8-QD0GW,Approved,Non Ducted,China,1.245,5,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/e58aab409d92?text=MideaMSABE-18HRFN8-QD0GW
Midea,MSABE-24HRFN8-QC5GW,Approved,Non Ducted,China,1.994,7,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/19886d4fcd64?text=MideaMSABE-24HRFN8-QC5GW
PANASONIC,S-100PK2E5B/U-100PZ2R5,Approved,Non Ducted,Malaysia,2.59,9,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/06c161133b68?text=PANASONICS-100PK2E5B/U-100PZ2R5
PANASONIC,S-100PK2E5B/U-100PZ2R8,Approved,Non Ducted,Malaysia,2.59,9,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/f62455ca7c44?text=PANASONICS-100PK2E5B/U-100PZ2R8
PANASONIC,S-100PK2E5B/U-100PE1R5A,Approved,Non Ducted,China,2.92,9.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/c4b5b2313edcd?text=PANASONICS-100PK2E5B/U-100PE1R5A
PANASONIC,S-100PK2E5B/U-100PE1R8A,Approved,Non Ducted,China,2.92,9.5,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/cb12039014b20?text=PANASONICS-100PK2E5B/U-100PE1R8A
Toshiba,RAV-SM1404UTP-E + RAV-SM1403AT-A,Approved,Non Ducted,Thailand;Japan,3.35,11.2,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/375b0a473497?text=ToshibaRAV-SM1404UTP-E + RAV-SM1403AT-A
Toshiba,RAV-SM804UTP-E + RAV-SM803AT-A,Approved,Non Ducted,Thailand;Japan,1.84,6.2,R410A,Reverse Cycle,TRUE,http://via.placeholder.com/150/39c0bc1765cc?text=ToshibaRAV-SM804UTP-E + RAV-SM803AT-A
PANASONIC,S-100PU2E5B/U-100PZ2R5,Approved,Non Ducted,Malaysia,2.62,10,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/86204c6e2a58?text=PANASONICS-100PU2E5B/U-100PZ2R5
PANASONIC,S-100PT2E5B/U-100PZ2R5,Approved,Non Ducted,Malaysia,2.75,10,R32,Reverse Cycle,TRUE,http://via.placeholder.com/150/17db7a799fd22?text=PANASONICS-100PT2E5B/U-100PZ2R5
PIONEER INTERNATIONAL,VPC-48D1,Approved,Ducted,Australia;China,3.86,14.1,M60,Reverse Cycle,TRUE,http://via.placeholder.com/150/a0793d82bfb27?text=PIONEER INTERNATIONALVPC-48D1
