Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
Mali,19/11/2014,0,1,5,6,0,1,4,5
United States of America,19/11/2014,0,0,4,4,0,0,1,1
Guinea,19/11/2014,63,210,1698,1971,0,210,982,1192
Spain,21/11/2014,0,0,1,1,0,0,0,0
Liberia,21/11/2014,2663,1750,2669,7082,0,0,0,2963
Nigeria,21/11/2014,0,1,19,20,0,1,7,8
United States of America,21/11/2014,0,0,4,4,0,0,1,1
Sierra Leone,21/11/2014,959,79,5152,6190,35,174,1058,1267
Mali,21/11/2014,0,1,5,6,0,1,5,6
Senegal,21/11/2014,0,0,1,1,0,0,0,0
Guinea,21/11/2014,86,216,1745,2047,0,216,998,1214
Sierra Leone,26/11/2014,1079,79,5441,6599,35,174,1189,1398
Liberia,26/11/2014,2687,1754,2727,7168,0,0,0,3016
Mali,26/11/2014,0,1,7,8,0,1,5,6
United States of America,26/11/2014,0,0,4,4,0,0,1,1
Spain,26/11/2014,0,0,1,1,0,0,0,0
Nigeria,26/11/2014,0,1,19,20,0,1,7,8
Guinea,26/11/2014,74,210,1850,2134,0,210,1050,1260
Senegal,26/11/2014,0,0,1,1,0,0,0,0
Senegal,1/12/2014,0,0,1,1,0,0,0,0
Mali,1/12/2014,0,1,7,8,0,0,0,6
Spain,1/12/2014,0,0,1,1,0,0,0,0
Sierra Leone,1/12/2014,1199,79,5831,7109,35,174,1321,1530
Liberia,1/12/2014,3042,1792,2801,7635,0,0,0,3145
Nigeria,1/12/2014,0,1,19,20,0,1,7,8
Guinea,1/12/2014,24,210,1921,2155,0,210,1102,1312
United States of America,1/12/2014,0,0,4,4,0,0,1,1
Mali,3/12/2014,0,1,7,8,0,0,0,6
Spain,3/12/2014,0,0,1,1,0,0,0,0
Guinea,3/12/2014,25,210,1929,2164,0,210,1117,1327
Senegal,3/12/2014,0,0,1,1,0,0,0,0
Sierra Leone,3/12/2014,1255,79,5978,7312,35,174,1374,1583
Liberia,3/12/2014,3042,1792,2801,7635,0,0,0,3145
United States of America,3/12/2014,0,0,4,4,0,0,1,1
Nigeria,3/12/2014,0,1,19,20,0,1,7,8
Spain,10/12/2014,0,0,1,1,0,0,0,0
Guinea,10/12/2014,20,221,2051,2292,0,221,1207,1428
Senegal,10/12/2014,0,0,1,1,0,0,0,0
Mali,10/12/2014,0,1,7,8,0,0,0,6
Liberia,10/12/2014,3075,1814,2830,7719,0,0,0,3177
Sierra Leone,10/12/2014,1443,79,6375,7897,35,174,1559,1768
Nigeria,10/12/2014,0,1,19,20,0,1,7,8
United States of America,10/12/2014,0,0,4,4,0,0,1,1
Spain,15/12/2014,0,0,1,1,0,0,0,0
Nigeria,15/12/2014,0,1,19,20,0,1,7,8
Guinea,15/12/2014,16,263,2115,2394,0,263,1255,1518
United States of America,15/12/2014,0,0,4,4,0,0,1,1
Mali,15/12/2014,0,1,7,8,0,0,0,6
Liberia,15/12/2014,3050,1801,2946,7797,0,0,0,3290
Senegal,15/12/2014,0,0,1,1,0,0,0,0
Sierra Leone,15/12/2014,1556,79,6638,8273,35,174,1824,2033
Nigeria,17/12/2014,0,1,19,20,0,1,7,8
Senegal,17/12/2014,0,0,1,1,0,0,0,0
Spain,17/12/2014,0,0,1,1,0,0,0,0
Liberia,17/12/2014,3050,1801,2946,7797,0,0,0,3290
Mali,17/12/2014,0,1,7,8,0,0,0,6
United States of America,17/12/2014,0,0,4,4,0,0,1,1
Guinea,17/12/2014,26,263,2127,2416,0,263,1262,1525
Sierra Leone,17/12/2014,1575,79,6702,8356,35,174,1876,2085
Spain,22/12/2014,0,0,1,1,0,0,0,0
United States of America,22/12/2014,0,0,4,4,0,0,1,1
Nigeria,22/12/2014,0,1,19,20,0,1,7,8
Senegal,22/12/2014,0,0,1,1,0,0,0,0
Guinea,22/12/2014,49,263,2259,2571,0,263,1323,1586
Liberia,22/12/2014,2991,1754,3085,7830,0,0,0,3376
Mali,22/12/2014,0,1,7,8,0,0,0,6
Sierra Leone,22/12/2014,1677,287,6975,8939,158,208,2190,2556
Sierra Leone,23/12/2014,1700,287,7017,9004,158,208,2216,2582
Mali,23/12/2014,0,1,7,8,0,0,0,6
Spain,23/12/2014,0,0,1,1,0,0,0,0
Liberia,23/12/2014,2991,1754,3085,7830,0,0,0,3376
Senegal,23/12/2014,0,0,1,1,0,0,0,0
Guinea,23/12/2014,50,263,2284,2597,0,263,1344,1607
Nigeria,23/12/2014,0,1,19,20,0,1,7,8
United States of America,23/12/2014,0,0,4,4,0,0,1,1
Nigeria,24/12/2014,0,1,19,20,0,1,7,8
Senegal,24/12/2014,0,0,1,1,0,0,0,0
Guinea,24/12/2014,50,263,2284,2597,0,263,1344,1607
Sierra Leone,24/12/2014,1700,287,7017,9004,158,208,2216,2582
Spain,24/12/2014,0,0,1,1,0,0,0,0
Mali,24/12/2014,0,1,7,8,0,0,0,6
Liberia,24/12/2014,3020,1757,3085,7862,0,0,0,3384
United States of America,24/12/2014,0,0,4,4,0,0,1,1
Senegal,26/12/2014,0,0,1,1,0,0,0,0
Mali,26/12/2014,0,1,7,8,0,0,0,6
Sierra Leone,26/12/2014,1756,287,7160,9203,158,208,2289,2655
United States of America,26/12/2014,0,0,4,4,0,0,1,1
Nigeria,26/12/2014,0,1,19,20,0,1,7,8
Guinea,26/12/2014,19,269,2342,2630,0,269,1385,1654
Liberia,26/12/2014,3020,1757,3085,7862,0,0,0,3384
Spain,26/12/2014,0,0,1,1,0,0,0,0
United States of America,29/12/2014,0,0,4,4,0,0,1,1
Sierra Leone,29/12/2014,1796,287,7326,9409,158,208,2366,2732
Nigeria,29/12/2014,0,1,19,20,0,1,7,8
Mali,29/12/2014,0,1,7,8,0,0,0,6
Liberia,29/12/2014,3096,1773,3108,7977,0,0,0,3413
Guinea,29/12/2014,36,275,2384,2695,0,275,1422,1697
Senegal,29/12/2014,0,0,1,1,0,0,0,0
Spain,29/12/2014,0,0,1,1,0,0,0,0
United States of America,30/12/2014,0,0,4,4,0,0,1,1
Sierra Leone,30/12/2014,1805,287,7354,9446,158,208,2392,2758
Mali,30/12/2014,0,1,7,8,0,0,0,6
Liberia,30/12/2014,3096,1773,3108,7977,0,0,0,3413
Guinea,30/12/2014,34,275,2397,2706,0,275,1433,1708
Spain,30/12/2014,0,0,1,1,0,0,0,0
Senegal,30/12/2014,0,0,1,1,0,0,0,0
Nigeria,30/12/2014,0,1,19,20,0,1,7,8
Spain,31/12/2014,0,0,1,1,0,0,0,0
Senegal,31/12/2014,0,0,1,1,0,0,0,0
Liberia,31/12/2014,3132,1776,3110,8018,0,0,0,3423
