Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,No. of confirmed- probable and suspected cases,No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,No. of confirmed-probable and suspected deaths
Mali,7/05/2015,0,1,7,8,0,0,0,6
Sierra Leone,7/05/2015,3586,287,8597,12470,158,208,3538,3904
United States of America,7/05/2015,0,0,4,4,0,0,1,1
United Kingdom,7/05/2015,0,0,1,1,0,0,0,0
Senegal,7/05/2015,0,0,1,1,0,0,0,0
Guinea,7/05/2015,7,415,3170,3592,0,415,1972,2387
Nigeria,7/05/2015,0,1,19,20,0,1,7,8
Senegal,8/05/2015,0,0,1,1,0,0,0,0
Spain,8/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,8/05/2015,3608,287,8597,12492,158,208,3538,3904
United States of America,8/05/2015,0,0,4,4,0,0,1,1
Nigeria,8/05/2015,0,1,19,20,0,1,7,8
Liberia,8/05/2015,5534,1879,3151,10564,0,0,0,4716
United Kingdom,8/05/2015,0,0,1,1,0,0,0,0
Mali,8/05/2015,0,1,7,8,0,0,0,6
Guinea,8/05/2015,7,415,3170,3592,0,415,1972,2387
United Kingdom,11/05/2015,0,0,1,1,0,0,0,0
Guinea,11/05/2015,11,415,3173,3599,0,415,1976,2391
Senegal,11/05/2015,0,0,1,1,0,0,0,0
United States of America,11/05/2015,0,0,4,4,0,0,1,1
Spain,11/05/2015,0,0,1,1,0,0,0,0
Mali,11/05/2015,0,1,7,8,0,0,0,6
Liberia,11/05/2015,5574,1879,3151,10604,0,0,0,4769
Nigeria,11/05/2015,0,1,19,20,0,1,7,8
Sierra Leone,11/05/2015,3635,287,8597,12519,158,208,3538,3904
Senegal,12/05/2015,0,0,1,1,0,0,0,0
Mali,12/05/2015,0,1,7,8,0,0,0,6
Liberia,12/05/2015,5574,1879,3151,10604,0,0,0,4769
United States of America,12/05/2015,0,0,4,4,0,0,1,1
United Kingdom,12/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,12/05/2015,3639,287,8597,12523,158,208,3538,3904
Nigeria,12/05/2015,0,1,19,20,0,1,7,8
Guinea,12/05/2015,8,415,3174,3597,0,415,1977,2392
Spain,12/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,13/05/2015,3635,287,8597,12519,158,208,3538,3904
United Kingdom,13/05/2015,0,0,1,1,0,0,0,0
Senegal,13/05/2015,0,0,1,1,0,0,0,0
Nigeria,13/05/2015,0,1,19,20,0,1,7,8
Spain,13/05/2015,0,0,1,1,0,0,0,0
Liberia,13/05/2015,5574,1879,3151,10604,0,0,0,4769
Mali,13/05/2015,0,1,7,8,0,0,0,6
Guinea,13/05/2015,11,415,3173,3599,0,415,1976,2391
United States of America,13/05/2015,0,0,4,4,0,0,1,1
Nigeria,14/05/2015,0,1,19,20,0,1,7,8
Spain,14/05/2015,0,0,1,1,0,0,0,0
Liberia,14/05/2015,5574,1879,3151,10604,0,0,0,4769
United States of America,14/05/2015,0,0,4,4,0,0,1,1
Mali,14/05/2015,0,1,7,8,0,0,0,6
Guinea,14/05/2015,9,419,3187,3615,0,419,1980,2399
Senegal,14/05/2015,0,0,1,1,0,0,0,0
United Kingdom,14/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,14/05/2015,3652,287,8597,12536,158,208,3538,3904
Italy,14/05/2015,0,0,1,1,0,0,0,0
Mali,15/05/2015,0,1,7,8,0,0,0,6
Guinea,15/05/2015,11,419,3189,3619,0,419,1982,2401
Sierra Leone,15/05/2015,3655,287,8598,12540,158,208,3538,3904
Nigeria,15/05/2015,0,1,19,20,0,1,7,8
United Kingdom,15/05/2015,0,0,1,1,0,0,0,0
Italy,15/05/2015,0,0,1,1,0,0,0,0
Spain,15/05/2015,0,0,1,1,0,0,0,0
United States of America,15/05/2015,0,0,4,4,0,0,1,1
Senegal,15/05/2015,0,0,1,1,0,0,0,0
Liberia,15/05/2015,5574,1879,3151,10604,0,0,0,4769
Nigeria,18/05/2015,0,1,19,20,0,1,7,8
Spain,18/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,18/05/2015,3703,287,8603,12593,158,208,3540,3906
United Kingdom,18/05/2015,0,0,1,1,0,0,0,0
Liberia,18/05/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,18/05/2015,0,0,1,1,0,0,0,0
Italy,18/05/2015,0,0,1,1,0,0,0,0
Mali,18/05/2015,0,1,7,8,0,0,0,6
United States of America,18/05/2015,0,0,4,4,0,0,1,1
Guinea,18/05/2015,12,419,3195,3626,0,419,1986,2405
Mali,19/05/2015,0,1,7,8,0,0,0,6
Italy,19/05/2015,0,0,1,1,0,0,0,0
Guinea,19/05/2015,15,419,3201,3635,0,419,1988,2407
Sierra Leone,19/05/2015,3740,287,8605,12632,158,208,3541,3907
Spain,19/05/2015,0,0,1,1,0,0,0,0
Nigeria,19/05/2015,0,1,19,20,0,1,7,8
United Kingdom,19/05/2015,0,0,1,1,0,0,0,0
United States of America,19/05/2015,0,0,4,4,0,0,1,1
Liberia,19/05/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,19/05/2015,0,0,1,1,0,0,0,0
Spain,20/05/2015,0,0,1,1,0,0,0,0
United Kingdom,20/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,20/05/2015,3740,287,8605,12632,158,208,3541,3907
Senegal,20/05/2015,0,0,1,1,0,0,0,0
Nigeria,20/05/2015,0,1,19,20,0,1,7,8
Italy,20/05/2015,0,0,1,1,0,0,0,0
Guinea,20/05/2015,15,415,3201,3635,0,419,1988,2407
Mali,20/05/2015,0,1,7,8,0,0,0,6
Liberia,20/05/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,20/05/2015,0,0,4,4,0,0,1,1
Liberia,21/05/2015,5636,1879,3151,10666,0,0,0,4806
Italy,21/05/2015,0,0,1,1,0,0,0,0
Spain,21/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,21/05/2015,3762,287,8607,12656,158,208,3541,3907
Nigeria,21/05/2015,0,1,19,20,0,1,7,8
Senegal,21/05/2015,0,0,1,1,0,0,0,0
Mali,21/05/2015,0,1,7,8,0,0,0,6
United Kingdom,21/05/2015,0,0,1,1,0,0,0,0
Guinea,21/05/2015,26,419,3204,3649,0,419,1990,2409
United States of America,21/05/2015,0,0,4,4,0,0,1,1
Spain,22/05/2015,0,0,1,1,0,0,0,0
Mali,22/05/2015,0,1,7,8,0,0,0,6
Liberia,22/05/2015,5636,1879,3151,10666,0,0,0,4806
Italy,22/05/2015,0,0,1,1,0,0,0,0
United States of America,22/05/2015,0,0,4,4,0,0,1,1
Sierra Leone,22/05/2015,3771,287,8608,12666,158,208,3541,3907
Guinea,22/05/2015,23,419,3205,3647,0,419,1993,2412
Nigeria,22/05/2015,0,1,19,20,0,1,7,8
United Kingdom,22/05/2015,0,0,1,1,0,0,0,0
Senegal,22/05/2015,0,0,1,1,0,0,0,0
Nigeria,25/05/2015,0,1,19,20,0,1,7,8
Italy,25/05/2015,0,0,1,1,0,0,0,0
United Kingdom,25/05/2015,0,0,1,1,0,0,0,0
United States of America,25/05/2015,0,0,4,4,0,0,1,1
Mali,25/05/2015,0,1,7,8,0,0,0,6
Spain,25/05/2015,0,0,1,1,0,0,0,0
Senegal,25/05/2015,0,0,1,1,0,0,0,0
Liberia,25/05/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,25/05/2015,13,419,3208,3640,0,419,1999,2418
Sierra Leone,25/05/2015,3801,287,8608,12696,158,208,3542,3908
Nigeria,26/05/2015,0,1,19,20,0,1,7,8
Senegal,26/05/2015,0,0,1,1,0,0,0,0
Guinea,26/05/2015,12,419,3210,3641,0,419,2001,2420
Mali,26/05/2015,0,1,7,8,0,0,0,6
Italy,26/05/2015,0,0,1,1,0,0,0,0
Spain,26/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,26/05/2015,3811,287,8608,12706,158,208,3542,3908
United Kingdom,26/05/2015,0,0,1,1,0,0,0,0
Liberia,26/05/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,26/05/2015,0,0,4,4,0,0,1,1
Mali,27/05/2015,0,1,7,8,0,0,0,6
Italy,27/05/2015,0,0,1,1,0,0,0,0
Guinea,27/05/2015,12,419,3210,3641,0,419,2001,2420
Nigeria,27/05/2015,0,1,19,20,0,1,7,8
Sierra Leone,27/05/2015,3811,287,8608,12706,158,208,3542,3908
United States of America,27/05/2015,0,0,4,4,0,0,1,1
Liberia,27/05/2015,5636,1879,3151,10666,0,0,0,4806
Spain,27/05/2015,0,0,1,1,0,0,0,0
United Kingdom,27/05/2015,0,0,1,1,0,0,0,0
Senegal,27/05/2015,0,0,1,1,0,0,0,0
Italy,28/05/2015,0,0,1,1,0,0,0,0
Mali,28/05/2015,0,1,7,8,0,0,0,6
United States of America,28/05/2015,0,0,4,4,0,0,1,1
Liberia,28/05/2015,5636,1879,3151,10666,0,0,0,4806
Spain,28/05/2015,0,0,1,1,0,0,0,0
Senegal,28/05/2015,0,0,1,1,0,0,0,0
Nigeria,28/05/2015,0,1,19,20,0,1,7,8
Guinea,28/05/2015,6,419,3214,3639,0,419,2004,2423
United Kingdom,28/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,28/05/2015,3837,287,8611,12735,158,208,3545,3911
Guinea,29/05/2015,9,419,3216,3644,0,419,2006,2425
United Kingdom,29/05/2015,0,0,1,1,0,0,0,0
Liberia,29/05/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,29/05/2015,0,0,4,4,0,0,1,1
Italy,29/05/2015,0,0,1,1,0,0,0,0
Sierra Leone,29/05/2015,3844,287,8614,12745,158,208,3545,3911
Nigeria,29/05/2015,0,1,19,20,0,1,7,8
Spain,29/05/2015,0,0,1,1,0,0,0,0
Senegal,29/05/2015,0,0,1,1,0,0,0,0
Mali,29/05/2015,0,1,7,8,0,0,0,6
United Kingdom,1/06/2015,0,0,1,1,0,0,0,0
United States of America,1/06/2015,0,0,4,4,0,0,1,1
Sierra Leone,1/06/2015,3911,287,8618,12816,158,208,3545,3911
Nigeria,1/06/2015,0,1,19,20,0,1,7,8
Spain,1/06/2015,0,0,1,1,0,0,0,0
Senegal,1/06/2015,0,0,1,1,0,0,0,0
Italy,1/06/2015,0,0,1,1,0,0,0,0
Guinea,1/06/2015,14,419,3220,3653,0,419,2009,2428
Liberia,1/06/2015,5636,1879,3151,10666,0,0,0,4806
Mali,1/06/2015,0,1,7,8,0,0,0,6
Sierra Leone,2/06/2015,3920,287,8620,12827,158,208,3546,3912
Nigeria,2/06/2015,0,1,19,20,0,1,7,8
Senegal,2/06/2015,0,0,1,1,0,0,0,0
Guinea,2/06/2015,10,419,3223,3652,0,419,2010,2429
Mali,2/06/2015,0,1,7,8,0,0,0,6
United States of America,2/06/2015,0,0,4,4,0,0,1,1
Liberia,2/06/2015,5636,1879,3151,10666,0,0,0,4806
Spain,2/06/2015,0,0,1,1,0,0,0,0
Italy,2/06/2015,0,0,1,1,0,0,0,0
United Kingdom,2/06/2015,0,0,1,1,0,0,0,0
United States of America,3/06/2015,0,0,4,4,0,0,1,1
United Kingdom,3/06/2015,0,0,1,1,0,0,0,0
Senegal,3/06/2015,0,0,1,1,0,0,0,0
Nigeria,3/06/2015,0,1,19,20,0,1,7,8
Sierra Leone,3/06/2015,3920,287,8620,12827,158,208,3546,3912
Italy,3/06/2015,0,0,1,1,0,0,0,0
Guinea,3/06/2015,10,419,3223,3652,0,419,2010,2429
Spain,3/06/2015,0,0,1,1,0,0,0,0
Mali,3/06/2015,0,1,7,8,0,0,0,6
Liberia,3/06/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,4/06/2015,11,419,3227,3657,0,419,2012,2431
Sierra Leone,4/06/2015,3940,287,8623,12850,158,208,3546,3912
United States of America,4/06/2015,0,0,4,4,0,0,1,1
Spain,4/06/2015,0,0,1,1,0,0,0,0
Mali,4/06/2015,0,1,7,8,0,0,0,6
Senegal,4/06/2015,0,0,1,1,0,0,0,0
Liberia,4/06/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,4/06/2015,0,1,19,20,0,1,7,8
United Kingdom,4/06/2015,0,0,1,1,0,0,0,0
Italy,4/06/2015,0,0,1,1,0,0,0,0
United Kingdom,5/06/2015,0,0,1,1,0,0,0,0
Guinea,5/06/2015,17,419,3228,3664,0,419,2012,2431
Italy,5/06/2015,0,0,1,1,0,0,0,0
United States of America,5/06/2015,0,0,4,4,0,0,1,1
Spain,5/06/2015,0,0,1,1,0,0,0,0
Senegal,5/06/2015,0,0,1,1,0,0,0,0
Liberia,5/06/2015,5636,1879,3151,10666,0,0,0,4806
Nigeria,5/06/2015,0,1,19,20,0,1,7,8
Mali,5/06/2015,0,1,7,8,0,0,0,6
Sierra Leone,5/06/2015,3948,287,8624,12859,158,208,3546,3912
Senegal,8/06/2015,0,0,1,1,0,0,0,0
Nigeria,8/06/2015,0,1,19,20,0,1,7,8
Sierra Leone,8/06/2015,3967,287,8630,12884,158,208,3547,3913
United States of America,8/06/2015,0,0,4,4,0,0,1,1
Spain,8/06/2015,0,0,1,1,0,0,0,0
Guinea,8/06/2015,13,419,3237,3669,0,419,2016,2435
Liberia,8/06/2015,5636,1879,3151,10666,0,0,0,4806
Italy,8/06/2015,0,0,1,1,0,0,0,0
Mali,8/06/2015,0,1,7,8,0,0,0,6
United Kingdom,8/06/2015,0,0,1,1,0,0,0,0
Sierra Leone,9/06/2015,3979,287,8635,12901,158,208,3549,3915
Spain,9/06/2015,0,0,1,1,0,0,0,0
Liberia,9/06/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,9/06/2015,0,0,4,4,0,0,1,1
United Kingdom,9/06/2015,0,0,1,1,0,0,0,0
Guinea,9/06/2015,12,419,3239,3670,0,419,2018,2437
Mali,9/06/2015,0,1,7,8,0,0,0,6
Nigeria,9/06/2015,0,1,19,20,0,1,7,8
Senegal,9/06/2015,0,0,1,1,0,0,0,0
Italy,9/06/2015,0,0,1,1,0,0,0,0
Mali,10/06/2015,0,1,7,8,0,0,0,6
United Kingdom,10/06/2015,0,0,1,1,0,0,0,0
Senegal,10/06/2015,0,0,1,1,0,0,0,0
Italy,10/06/2015,0,0,1,1,0,0,0,0
Spain,10/06/2015,0,0,1,1,0,0,0,0
United States of America,10/06/2015,0,0,4,4,0,0,1,1
Liberia,10/06/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,10/06/2015,12,419,3239,3670,0,419,2018,2437
Nigeria,10/06/2015,0,1,19,20,0,1,7,8
Sierra Leone,10/06/2015,3979,287,8635,12901,158,208,3549,3915
Italy,11/06/2015,0,0,1,1,0,0,0,0
United States of America,11/06/2015,0,0,4,4,0,0,1,1
Guinea,11/06/2015,12,419,3243,3674,0,419,2021,2440
Spain,11/06/2015,0,0,1,1,0,0,0,0
Mali,11/06/2015,0,1,7,8,0,0,0,6
Nigeria,11/06/2015,0,1,19,20,0,1,7,8
Senegal,11/06/2015,0,0,1,1,0,0,0,0
Liberia,11/06/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,11/06/2015,0,0,1,1,0,0,0,0
Sierra Leone,11/06/2015,3986,287,8638,12911,158,208,3551,3917
Liberia,12/06/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,12/06/2015,15,419,3243,3677,0,419,2021,2440
Nigeria,12/06/2015,0,1,19,20,0,1,7,8
Mali,12/06/2015,0,1,7,8,0,0,0,6
Spain,12/06/2015,0,0,1,1,0,0,0,0
United States of America,12/06/2015,0,0,4,4,0,0,1,1
Sierra Leone,12/06/2015,3998,287,8647,12932,158,208,3551,3917
United Kingdom,12/06/2015,0,0,1,1,0,0,0,0
Italy,12/06/2015,0,0,1,1,0,0,0,0
Senegal,12/06/2015,0,0,1,1,0,0,0,0
Spain,15/06/2015,0,0,1,1,0,0,0,0
United States of America,15/06/2015,0,0,4,4,0,0,1,1
Mali,15/06/2015,0,1,7,8,0,0,0,6
Guinea,15/06/2015,9,419,3249,3677,0,419,2024,2443
Liberia,15/06/2015,5636,1879,3151,10666,0,0,0,4806
Italy,15/06/2015,0,0,1,1,0,0,0,0
Sierra Leone,15/06/2015,4026,287,8649,12962,158,208,3553,3919
Nigeria,15/06/2015,0,1,19,20,0,1,7,8
United Kingdom,15/06/2015,0,0,1,1,0,0,0,0
Senegal,15/06/2015,0,0,1,1,0,0,0,0
Guinea,16/06/2015,10,419,3249,3678,0,419,2025,2444
Liberia,16/06/2015,5636,1879,3151,10666,0,0,0,4806
Mali,16/06/2015,0,1,7,8,0,0,0,6
United Kingdom,16/06/2015,0,0,1,1,0,0,0,0
Sierra Leone,16/06/2015,4029,287,8649,12965,158,208,3553,3919
United States of America,16/06/2015,0,0,4,4,0,0,1,1
Senegal,16/06/2015,0,0,1,1,0,0,0,0
Italy,16/06/2015,0,0,1,1,0,0,0,0
Nigeria,16/06/2015,0,1,19,20,0,1,7,8
Spain,16/06/2015,0,0,1,1,0,0,0,0
United States of America,17/06/2015,0,0,4,4,0,0,1,1
Sierra Leone,17/06/2015,4029,287,8649,12965,158,208,3553,3919
Nigeria,17/06/2015,0,1,19,20,0,1,7,8
United Kingdom,17/06/2015,0,0,1,1,0,0,0,0
Italy,17/06/2015,0,0,1,1,0,0,0,0
Senegal,17/06/2015,0,0,1,1,0,0,0,0
Spain,17/06/2015,0,0,1,1,0,0,0,0
Mali,17/06/2015,0,1,7,8,0,0,0,6
Guinea,17/06/2015,10,419,3245,3674,0,419,2025,2444
Liberia,17/06/2015,5636,1879,3151,10666,0,0,0,4806
Sierra Leone,18/06/2015,4052,287,8651,12990,158,208,3556,3922
Liberia,18/06/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,18/06/2015,0,0,4,4,0,0,1,1
Italy,18/06/2015,0,0,1,1,0,0,0,0
Senegal,18/06/2015,0,0,1,1,0,0,0,0
United Kingdom,18/06/2015,0,0,1,1,0,0,0,0
Spain,18/06/2015,0,0,1,1,0,0,0,0
Nigeria,18/06/2015,0,1,19,20,0,1,7,8
Guinea,18/06/2015,10,419,3246,3675,0,419,2026,2445
Mali,18/06/2015,0,1,7,8,0,0,0,6
Mali,19/06/2015,0,1,7,8,0,0,0,6
Sierra Leone,19/06/2015,4071,287,8654,13012,158,208,3560,3926
Nigeria,19/06/2015,0,1,19,20,0,1,7,8
Spain,19/06/2015,0,0,1,1,0,0,0,0
United States of America,19/06/2015,0,0,4,4,0,0,1,1
Senegal,19/06/2015,0,0,1,1,0,0,0,0
United Kingdom,19/06/2015,0,0,1,1,0,0,0,0
Italy,19/06/2015,0,0,1,1,0,0,0,0
Liberia,19/06/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,19/06/2015,8,419,3247,3674,0,419,2027,2446
Liberia,22/06/2015,5636,1879,3151,10666,0,0,0,4806
Spain,22/06/2015,0,0,1,1,0,0,0,0
United Kingdom,22/06/2015,0,0,1,1,0,0,0,0
Italy,22/06/2015,0,0,1,1,0,0,0,0
Guinea,22/06/2015,16,428,3254,3698,0,428,2028,2456
Sierra Leone,22/06/2015,4107,287,8657,13051,158,208,3562,3928
Mali,22/06/2015,0,1,7,8,0,0,0,6
United States of America,22/06/2015,0,0,4,4,0,0,1,1
Nigeria,22/06/2015,0,1,19,20,0,1,7,8
Senegal,22/06/2015,0,0,1,1,0,0,0,0
Italy,23/06/2015,0,0,1,1,0,0,0,0
Sierra Leone,23/06/2015,4115,287,8657,13059,158,208,3562,3928
Liberia,23/06/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,23/06/2015,0,0,1,1,0,0,0,0
Nigeria,23/06/2015,0,1,19,20,0,1,7,8
Senegal,23/06/2015,0,0,1,1,0,0,0,0
United States of America,23/06/2015,0,0,4,4,0,0,1,1
Spain,23/06/2015,0,0,1,1,0,0,0,0
Mali,23/06/2015,0,1,7,8,0,0,0,6
Guinea,23/06/2015,18,443,3257,3718,0,443,2030,2473
United States of America,24/06/2015,0,0,4,4,0,0,1,1
Sierra Leone,24/06/2015,4115,287,8657,13059,158,208,3562,3928
Senegal,24/06/2015,0,0,1,1,0,0,0,0
United Kingdom,24/06/2015,0,0,1,1,0,0,0,0
Guinea,24/06/2015,18,443,3257,3718,0,443,2030,2473
Liberia,24/06/2015,5636,1879,3151,10666,0,0,0,4806
Mali,24/06/2015,0,1,7,8,0,0,0,6
Italy,24/06/2015,0,0,1,1,0,0,0,0
Nigeria,24/06/2015,0,1,19,20,0,1,7,8
Spain,24/06/2015,0,0,1,1,0,0,0,0
Nigeria,25/06/2015,0,1,19,20,0,1,7,8
Sierra Leone,25/06/2015,4136,287,8660,13083,158,208,3565,3931
Senegal,25/06/2015,0,0,1,1,0,0,0,0
Mali,25/06/2015,0,1,7,8,0,0,0,6
Spain,25/06/2015,0,0,1,1,0,0,0,0
United Kingdom,25/06/2015,0,0,1,1,0,0,0,0
Liberia,25/06/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,25/06/2015,0,0,4,4,0,0,1,1
Guinea,25/06/2015,11,443,3264,3718,0,443,2037,2480
Italy,25/06/2015,0,0,1,1,0,0,0,0
Guinea,26/06/2015,11,443,3266,3720,0,443,2037,2480
Spain,26/06/2015,0,0,1,1,0,0,0,0
Senegal,26/06/2015,0,0,1,1,0,0,0,0
Italy,26/06/2015,0,0,1,1,0,0,0,0
Sierra Leone,26/06/2015,4144,287,8662,13093,158,208,3565,3931
Liberia,26/06/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,26/06/2015,0,0,1,1,0,0,0,0
Mali,26/06/2015,0,1,7,8,0,0,0,6
Nigeria,26/06/2015,0,1,19,20,0,1,7,8
United States of America,26/06/2015,0,0,4,4,0,0,1,1
Senegal,29/06/2015,0,0,1,1,0,0,0,0
United Kingdom,29/06/2015,0,0,1,1,0,0,0,0
Nigeria,29/06/2015,0,1,19,20,0,1,7,8
Guinea,29/06/2015,13,443,3268,3724,0,443,2039,2482
Sierra Leone,29/06/2015,4164,287,8664,13115,158,208,3566,3932
Mali,29/06/2015,0,1,7,8,0,0,0,6
Spain,29/06/2015,0,0,1,1,0,0,0,0
Liberia,29/06/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,29/06/2015,0,0,4,4,0,0,1,1
Italy,29/06/2015,0,0,1,1,0,0,0,0
United Kingdom,30/06/2015,0,0,1,1,0,0,0,0
Mali,30/06/2015,0,1,7,8,0,0,0,6
Liberia,30/06/2015,5636,1879,3151,10666,0,0,0,4806
Sierra Leone,30/06/2015,4167,287,8665,13119,158,208,3566,3932
Italy,30/06/2015,0,0,1,1,0,0,0,0
Senegal,30/06/2015,0,0,1,1,0,0,0,0
Guinea,30/06/2015,17,443,3269,3729,0,443,2039,2482
Spain,30/06/2015,0,0,1,1,0,0,0,0
Nigeria,30/06/2015,0,1,19,20,0,1,7,8
United States of America,30/06/2015,0,0,4,4,0,0,1,1
Sierra Leone,1/07/2015,4167,287,8665,13119,158,208,3566,3932
Senegal,1/07/2015,0,0,1,1,0,0,0,0
Spain,1/07/2015,0,0,1,1,0,0,0,0
United Kingdom,1/07/2015,0,0,1,1,0,0,0,0
Guinea,1/07/2015,17,443,3269,3729,0,443,2039,2482
Italy,1/07/2015,0,0,1,1,0,0,0,0
Liberia,1/07/2015,5636,1879,3151,10666,0,0,0,4806
United States of America,1/07/2015,0,0,4,4,0,0,1,1
Nigeria,1/07/2015,0,1,19,20,0,1,7,8
Mali,1/07/2015,0,1,7,8,0,0,0,6
Senegal,2/07/2015,0,0,1,1,0,0,0,0
Italy,2/07/2015,0,0,1,1,0,0,0,0
Liberia,2/07/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,2/07/2015,18,450,3277,3745,0,450,2040,2490
United States of America,2/07/2015,0,0,4,4,0,0,1,1
Spain,2/07/2015,0,0,1,1,0,0,0,0
Nigeria,2/07/2015,0,1,19,20,0,1,7,8
Mali,2/07/2015,0,1,7,8,0,0,0,6
Sierra Leone,2/07/2015,4174,287,8668,13129,158,208,3567,3933
United Kingdom,2/07/2015,0,0,1,1,0,0,0,0
Liberia,3/07/2015,5636,1879,3151,10666,0,0,0,4806
United Kingdom,3/07/2015,0,0,1,1,0,0,0,0
Nigeria,3/07/2015,0,1,19,20,0,1,7,8
Senegal,3/07/2015,0,0,1,1,0,0,0,0
United States of America,3/07/2015,0,0,4,4,0,0,1,1
Guinea,3/07/2015,21,450,3279,3750,0,450,2042,2492
Italy,3/07/2015,0,0,1,1,0,0,0,0
Liberia,3/07/2015,37,0,3,40,4,0,1,5
Spain,3/07/2015,0,0,1,1,0,0,0,0
Mali,3/07/2015,0,1,7,8,0,0,0,6
Sierra Leone,3/07/2015,4177,287,8671,13135,158,208,3569,3935
United Kingdom,6/07/2015,0,0,1,1,0,0,0,0
Spain,6/07/2015,0,0,1,1,0,0,0,0
Guinea,6/07/2015,7,450,3287,3744,0,450,2048,2498
United States of America,6/07/2015,0,0,4,4,0,0,1,1
Liberia,6/07/2015,0,1,3,4,0,0,1,1
Nigeria,6/07/2015,0,1,19,20,0,1,7,8
Mali,6/07/2015,0,1,7,8,0,0,0,6
Sierra Leone,6/07/2015,4190,287,8673,13150,158,208,3574,3940
Senegal,6/07/2015,0,0,1,1,0,0,0,0
Liberia,6/07/2015,5636,1879,3151,10666,0,0,0,4806
Italy,6/07/2015,0,0,1,1,0,0,0,0
Italy,7/07/2015,0,0,1,1,0,0,0,0
Spain,7/07/2015,0,0,1,1,0,0,0,0
Liberia,7/07/2015,0,1,3,4,0,0,1,1
Nigeria,7/07/2015,0,1,19,20,0,1,7,8
United States of America,7/07/2015,0,0,4,4,0,0,1,1
Sierra Leone,7/07/2015,4194,287,8674,13155,158,208,3574,3940
Senegal,7/07/2015,0,0,1,1,0,0,0,0
Liberia,7/07/2015,5636,1879,3151,10666,0,0,0,4806
Guinea,7/07/2015,11,450,3287,3748,0,450,2049,2499
Mali,7/07/2015,0,1,7,8,0,0,0,6
United Kingdom,7/07/2015,0,0,1,1,0,0,0,0
Nigeria,8/07/2015,0,1,19,20,0,1,7,8
Liberia,8/07/2015,0,1,3,4,0,0,1,1
United States of America,8/07/2015,0,0,4,4,0,0,1,1
Spain,8/07/2015,0,0,1,1,0,0,0,0
Sierra Leone,8/07/2015,4194,287,8674,13155,158,208,3574,3940
Mali,8/07/2015,0,1,7,8,0,0,0,6
United Kingdom,8/07/2015,0,0,1,1,0,0,0,0
Guinea,8/07/2015,11,450,3287,3748,0,450,2049,2499
Italy,8/07/2015,0,0,1,1,0,0,0,0
Senegal,8/07/2015,0,0,1,1,0,0,0,0
Liberia,8/07/2015,5636,1879,3151,10666,0,0,0,4806
Liberia,9/07/2015,5636,1879,3151,10666,0,0,0,4806
Senegal,9/07/2015,0,0,1,1,0,0,0,0
Nigeria,9/07/2015,0,1,19,20,0,1,7,8
Liberia,9/07/2015,0,1,5,6,0,0,1,1
United Kingdom,9/07/2015,0,0,1,1,0,0,0,0
United States of America,9/07/2015,0,0,4,4,0,0,1,1
Italy,9/07/2015,0,0,1,1,0,0,0,0
Sierra Leone,9/07/2015,4207,287,8675,13169,158,208,3575,3941
Guinea,9/07/2015,4,450,3290,3744,0,450,2055,2505
Mali,9/07/2015,0,1,7,8,0,0,0,6
Spain,9/07/2015,0,0,1,1,0,0,0,0
Senegal,10/07/2015,0,0,1,1,0,0,0,0
Mali,10/07/2015,0,1,7,8,0,0,0,6
Sierra Leone,10/07/2015,4214,287,8676,13177,158,208,3575,3941
Nigeria,10/07/2015,0,1,19,20,0,1,7,8
Italy,10/07/2015,0,0,1,1,0,0,0,0
Guinea,10/07/2015,8,450,3293,3751,0,450,2055,2505
Liberia,10/07/2015,0,1,5,6,0,0,1,1
Spain,10/07/2015,0,0,1,1,0,0,0,0
United States of America,10/07/2015,0,0,4,4,0,0,1,1
United Kingdom,10/07/2015,0,0,1,1,0,0,0,0
